md5,sha1,sha256,path
a88c62f9305f93186fc646c8f0205751,d6315f8862e094b5e052b38ac5a4c7c3056a6faa,ede8cd7b76a0008b7657533bdfca7dfd1828cedfc767b4b173ac14fbe4845df9,C:\Program Files\Common Files\microsoft shared\ink\FlickLearningWizard.exe
7f74d28d7ceca0e08ef722837c98ace6,08572967352b5ce392cdd270b2fa07f39c79a160,7ec26c139dfb9b024bf311284574fea71bdbc716aab5213c34214fb7bccf553f,C:\Program Files\Common Files\microsoft shared\ink\InkDiv.dll
80bd08caafe97e7b03d248c2108f12ca,bf8c9a45941a0b0740c573ea90d9afd9eef47a5a,895c844b5a64b0e832cb07977325afc96e71431ea08d2106a4551e234bf90cef,C:\Program Files\Common Files\microsoft shared\ink\InputPersonalization.exe
ece122f4baf9e230811cee7f99f1e73e,5c304587724d1c6f945af14b2ea36993d3c9e233,118baac1e566a16ca02ba644766902bca4166084d10e93b987756c6fc0549983,C:\Program Files\Common Files\microsoft shared\ink\IPSEventLogMsg.dll
9f2ccb2aa13812a5558a3d34e5115546,aafac765bb54abd62ca176c947a86da0df61f537,b9bc7e3e57beed3ca654f8d8404c516b657d9a20e6d14b3e3ed30810f9ea2951,C:\Program Files\Common Files\microsoft shared\ink\IpsMigrationPlugin.dll
33c064d0cff492a0ff3c7cabf4ed8cca,c4f2434a7e6211b70f2580efdd399285d1ff5085,351e856d8df544cfa115016ee6db420761253e95d3ec529149beae1dc9a45107,C:\Program Files\Common Files\microsoft shared\ink\InkObj.dll
35d75bdbae8fdc1872281aef0388a7e4,ffaf7d4629eea1396bb1c8cdbb07f853bf08df48,a6e9024f25d46c94d4b8be7a9975a7ceb8b16353aad61b3b17df192170be1b38,C:\Program Files\Common Files\microsoft shared\ink\IpsPlugin.dll
5e12c56807c47a29dde378b1bd695b6d,63fa7ab0cd856891b166f11381e4961dac70692c,9770296469a98eb7614f8a6d3ca54019cdb47b037e3f4e7e44a8d4f7379fd110,C:\Program Files\Common Files\microsoft shared\ink\journal.dll
18d0a07786822677797d8979334de6ff,148f0c76dd32bc7c0207a44b6e5087511e9484f9,5e79bd57b686ad3b54672d3d8000ae3d443fd747604d9bc1004557e59861b6a4,C:\Program Files\Common Files\microsoft shared\ink\micaut.dll
97830313b717820208ea2844fbd8eba8,34cc713d1949b3e24c86d8bc0c5e7a4c344722e2,afe9cd834325abe9e419493a3f87e503a66494e30cae7825c42d0114b0c254be,C:\Program Files\Common Files\microsoft shared\ink\Microsoft.Ink.dll
2e34e4439aa36e19ba33494ae6d2a400,ddb430034e5c0bc82164a964892cb78f9d485305,cf50eedeb0b088df0f63f994b3d05207b97ee2bc0e9ddbebe015825b92bdac86,C:\Program Files\Common Files\microsoft shared\ink\mip.exe
01c65f31d8b9fb12a2265650b09d077d,50bcaf89c01006768b6429421c172230968fa5cf,c47d6bff4281397f120da0e2bd4ed6686c514189d0098096bd8ec4fcae38332f,C:\Program Files\Common Files\microsoft shared\ink\mshwgst.dll
3491e936193142bd9e801edebb2c8a36,0ac8ff4aa6ae06b1ced41104be88fa1d81c2f007,88770fe06cea00adf5df44ae80bf7a45a7f29f8dd3a6b6866af864a97f12dc2d,C:\Program Files\Common Files\microsoft shared\ink\mshwLatin.dll
6c4b7319153e7efbf2718ec3dca6cce9,bf0057bbea3ef81ec50df1e5dfedfb9ff3c1f4ec,4ca2bc2a240f71b6ea91790214550d85c4b795f3880fcf07440d68c648307421,C:\Program Files\Common Files\microsoft shared\ink\mraut.dll
a42a8bc75af18bdfa79e439b2362cb1e,1830dfde34a7fe37c433e3f99ce9bd6026429fa0,5cb80f0f2e2f0a474a8e87888e28b797afbb7775e3f6c68b133c69d19fba6f0a,C:\Program Files\Common Files\microsoft shared\ink\rtscom.dll
e079eda51a0040a3524fae18285d23c4,6e66ff574c951fc0c95667953888d220030605c7,08bc47fb7e1c7c129463680392f7a66a2d3bbdc1ffa76607d956f41abeaa1049,C:\Program Files\Common Files\microsoft shared\ink\ShapeCollector.exe
d3a8c6d9ccdc70aaccc70f78ab68363e,66300cd5c85b761b83a0c76db6d227cbacda2b88,7bfb042fb45637e78f79913a84c5fce0aab0ba48c7acea4acf2cef724c827719,C:\Program Files\Common Files\microsoft shared\ink\TabIpsps.dll
22004b9c1c7c73bf97d11f9c158fb3f7,e4dd7d98483bd52566b84aebaf4053957e381bb3,daf47501d3d7a0a4dc8a0b2680cc41552e9fd3c9fcbe51ba39e6302e8b13f4a2,C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe
24af9278b66bf6123aa10063e04b33fc,4ef78f3b54c698aa2b99283950ad484346763c5c,ef40f61e55377c65c445d5eac58c011d7c2e44d55f3c7568c1a4d36214bb60fc,C:\Program Files\Common Files\microsoft shared\ink\TipRes.dll
fb6e5cdc8e893f4e8a9886968610d32f,b211783fc5c0f6b1e6a89ed0080d8730c5807e8e,297724fc2a90b81374fb5c1dfea6dd1757982dbcfdca1b52a838059fb47d2178,C:\Program Files\Common Files\microsoft shared\ink\tipresx.dll
0cb4270cb636226012b625e6488e27c9,c002d9ed87367e89455ab7b7f16c06e53a70ca18,f344050133c47c8ec49ce63f80586900c5e932e7b7df8503cac0a21023a4058b,C:\Program Files\Common Files\microsoft shared\ink\tabskb.dll
f8da13487ed15610431cf380ca62e80a,64e2566c120adbbca01f1018c25dbdbcab6d6326,1beea9b5c58c243ec0bf59e96cc3bda53910d7e6d1328e8410eff89b02f8302b,C:\Program Files\Common Files\microsoft shared\ink\tipskins.dll
f9e97024d9d74a731b50c65debbb1e89,4568c553e00f84d5f12dafad9e4ee3a6307b075b,8a8848d70c8e0ab15b93dfbd9e5419c96dfd84bed77a023f656bc0ddfc128a77,C:\Program Files\Common Files\microsoft shared\ink\tiptsf.dll
c69b325a15b73e1f7f29d44fc5cdf486,b84f211215f503e89fa51cadf48b4bdff18b953c,5e4d372c945e98b306fa549c5a857e16fe96d370792202f835810885d08c7882,C:\Program Files\Common Files\microsoft shared\ink\tpcps.dll
2dfb449a5c329eab3ac0a9f09a634b4e,29b3b37a930241d30b6431f1bb2c83dc9a2b3a04,8523f579f13f5d588375850dc405b5a0a3c4d31884b02fa3feb4e679f9ab7aa8,C:\Program Files\Common Files\microsoft shared\MSInfo\msinfo32.exe
b370bef39a3665a33bd82b614ffbf361,ac4608231fce95c4036dc04e1b0cf56ae813df03,a9f818f65074355e9376f9519b6846333b395d9b2d884d8d15f8d2f4991b860a,C:\Program Files\Common Files\microsoft shared\VC\msdia90.dll
48b81db2c91c6fb75bf09893f1422a60,1c84191a591353b169f1b4644a71baf128b1a17d,358a60ee67a3a9b16d915670851c1a7629db3119f44dd220996e3a3e91cb04db,C:\Program Files\Common Files\microsoft shared\VGX\VGX.dll
94fb0fc094cb89a29cc92d319bfc75ac,8aed43259d33b08a00aa4209027c4090ebcf261e,08ee0ca56fac308ec44aeff36c652cac871a8b6c43b52e5df1af9c438eb3bcd5,C:\Program Files\Common Files\System\ado\msader15.dll
e23cb54aa630dcbb97789bfbaab75d95,d70bae770e458fd9da21477ae2fed115a4ff7713,45deaa3dd7b54b6d544683b84933518ccf3c453de926326a5c5d676b0d72672e,C:\Program Files\Common Files\System\ado\msado15.dll
ebf26a3867cf6dfba9b86209115d102e,acd8dbb5e71ea67cb5f600ca202315dbd8a2f90a,2dcd2de6345c8c818c2b76bfb4f0058ac754fed0dc597023a651e6af3b8ae5b6,C:\Program Files\Common Files\System\ado\msadomd.dll
a670c4c544769d48616d4f765ee17cf8,e30b112f0358c09426058eab2d54997171b29120,b27979b1facedaa9223cffdc6e909a55d562838764b6c8f8346403dea15fd911,C:\Program Files\Common Files\System\ado\msador15.dll
761a005990eb291eb40a655848020eef,70298da32467c9d5e4fab25a3ba41d06b7d05c6d,ee176aec7b7cd09241d119c62c15e011d9b425df8a4d74e383103d488b0cb254,C:\Program Files\Common Files\System\ado\msadox.dll
e87b8382ca87c56404624e389fa4d4da,872a47a83c326b421479c30d8fd80b5103659e11,46b21607a65f4d2043e7da3ace8e95f3db5244527b0e86aed526b3471a2b4925,C:\Program Files\Common Files\System\ado\msadrh15.dll
3c0a4dd9e4572386926b44b4ef911efa,a8bb49496f657ce32491593d57cfdc071033c7e6,1c487fed3cf78a85b7f9d02c11e5ec624274e4c06ea218a0095ec45103337ce6,C:\Program Files\Common Files\System\DirectDB.dll
e0834745f2cec43ff73daa3de0d11108,b0c91b3f5e72056f36f7a3f9a7ae5a89dcc235f2,a23e1d7cecc8d5c893980a596a3b2cbcd2d6f992462fdf8acf84df20314aa7a9,C:\Program Files\Common Files\System\msadc\msadce.dll
2816851a3909cd2fb4c860a3eacb1a1d,679c700ec759080742b2bebfd99e9e9e34a87151,bc587525699a95efad9ed795a7ecb54280a1896aca3754f81a6be08dac139135,C:\Program Files\Common Files\System\msadc\msadcer.dll
c1e5949a193befd52f6faf7986b253ca,da7c7a2394fa97977b121276a681119c56c49b9e,f039d86f770faccf323cb765a51f0de5f50386f2aee760162b576a5e92ff059e,C:\Program Files\Common Files\System\msadc\msadco.dll
1e4c18df9747b9d6679d5154dd3bfe1e,d0fe2d3fada582bdd7e99fae58ff209d0ff53f39,ec473d9f4f991574357f6a3ad27bc233b58e56f4da22cf0ef691b32b4c8ee685,C:\Program Files\Common Files\System\msadc\msadcor.dll
a532767ee837c7800981407779258240,3e7ca33a174c354bdacf62ca8189a473d2c4521f,56a2fd27a72a7ba4ff301edbc4fb90eb0038e6c90077b33415cda6a3645af6e0,C:\Program Files\Common Files\System\msadc\msadds.dll
c91fc94a5ee191f46f5de6973a966731,5dafef98a5b6ccc01e0abf444ca526f9e299204e,6f5820f22ef578176f3aab71d1b63bb50620eae8864653be48e1bba602a37e2a,C:\Program Files\Common Files\System\msadc\msaddsr.dll
cfc063f27b5f7951899d8e8857f046b8,dc4e049a2643eac97840c20f94a0773d8572b41b,aa9b88cf3b57edb91e15af4d1095961cae2fd96b66bbae8c7b7eff816fadc53e,C:\Program Files\Common Files\System\msadc\msdaprsr.dll
2f0a55f32899c41d12157f70740a3f54,de1c394940aaad8202f9ba9501e54b583bc3a167,72e7746daafcc672a29501f858a2454b7d859315aedfd580e0f74a6960b37c79,C:\Program Files\Common Files\System\msadc\msdaprst.dll
8950d363f8332df0423f900b3236cf8b,4aaaa64f1bf51f9d15e0d3549849b0b22af77204,589b8e4afcd46af7784c88d0cbd459a2d24b93009a5830bfc5a923e623f340ee,C:\Program Files\Common Files\System\msadc\msdarem.dll
319fa04749ff601800f87b8e08a488f1,99c00e3e9f51119f1e17ea77ee817114fa6b21d0,ff3d357ecb54924d1265bb1c49bc5d71ea023116a81bd2b876ff5e9c82e0184d,C:\Program Files\Common Files\System\msadc\msdaremr.dll
2da8a31dc33ce21e1390498eb6c60fe6,0445c6ba9ec332acc2743a856b9e92e6dae537f1,a9437900b5f0301c9eeb238193e8d573f344b0cd21fbcce00aff839b5a8fc7cb,C:\Program Files\Common Files\System\msadc\msdfmap.dll
b3cb79261350cd47a07054d824f231c7,c18f4966bf0af64bf17bfb39ca823f1f62781e67,09afb773a09f96e5022922087b46437218bcef79f766e4ec9925480b98472896,C:\Program Files\Common Files\System\Ole DB\msdaosp.dll
5936503a3b9d7a0ad0bc1017b8e513bd,23a56c10723da6f1e5965cc874f3c9b64c823275,44ba85d687edab40e7dd0e8304a82abaf1cdcb96921888f3f5a292735d16a8ae,C:\Program Files\Common Files\System\Ole DB\msdaps.dll
879d8e47aca0af993cb4232e04d657ed,74f9f1e8a370965f7e304898c032acda809752e1,26a311af2b38de01779337d4bec30bb213e0f0c8dd7199f799fa5d02a4c1e9dd,C:\Program Files\Common Files\System\Ole DB\msdasql.dll
2dfdd3138ef5bd47bf4fb012720701f1,dcc26ebea3f41423d27800295b45df24d5c1c663,6e715cf89b05e45442ab707e59d92e76003162d89d1c02ade34bb6ba9d6bc881,C:\Program Files\Common Files\System\Ole DB\msdasqlr.dll
6a23cf521b6e19fa0d8b56a17aacdc30,cf92373fddc55682ef4db4869aec35cb82aaffad,5aa2d7793dafaf3c81e3218e468f4260c3160155edc0cac59c976dcc151ab2ef,C:\Program Files\Common Files\System\Ole DB\msdatl3.dll
2c4536e8f0a4bd0ca678ef48aa448c49,7810743ece6890de7a43adf530c7778d4bba265a,4e01e794729c0b462be5c0e613a11e7de03aca2c02cf45efa0a70b20b12ee06f,C:\Program Files\Common Files\System\Ole DB\msxactps.dll
4004666d1d566d88d810f881c0581e09,8ab077454981340412c156f6953ecba2d0792e08,8e470f8b9fa7b6acfd46032f80b58ca5a44ea7ea5e2119ffc6f1791bb0da7e62,C:\Program Files\Common Files\System\Ole DB\oledb32.dll
773d4d57e8a9a8448520fe7a37266fc9,7246c30bd90d308d23cb61be190e884d71bcda42,a13a31880d612839fb0e83ace44bba94298b9c0c01a23b4f98318a37026982fc,C:\Program Files\Common Files\System\Ole DB\oledb32r.dll
1f344c6008e27f46c3e168a2fb8bedcc,76d200a7c833dbeb763fd188af659a577a7ebf4d,3be22a866b8cca21336aa8e7586f83be6318d4c2ae7f614bf010ac995fb9e8c7,C:\Program Files\Common Files\System\Ole DB\sqloledb.dll
eabe22c1d388c4fa145fee05c8af8296,94b8252381617a3c0d1908232d48a4b99e07be22,41a01543fd4d704e4fce39edeb388d2ca056b1693a207327bb103149818f9a13,C:\Program Files\Common Files\System\Ole DB\sqlxmlx.dll
2c67696d5d2865507b8eb2871bf811e7,b1b9fc35ad3d4a334474484dfbf0ea87d37a7c9b,8989ed1d2aec24fc70847efa883bd6d7c29df28420c5d2ecf12a005a66437d97,C:\Program Files\Common Files\System\wab32.dll
87e38093543309059337978ab75ad1f0,05d32033d24b29a340eb598f77f3b6107b03ca13,28933c3d9af7025526c09f52b354feaf7f1ea9de09e2b3de1d915710d725d009,C:\Program Files\Common Files\VMware\Drivers\memctl\Win8\vmmemctl.sys
d47250ca304ba2ac4b0739da2da3251a,819d4f31458b74cb0580a02d2be4fd759d908df6,e99dc57ee22e818acc17cd05df30f38c06bce07dd04578b552d346a03982fc08,C:\Program Files\Common Files\VMware\Drivers\memctl\Win8\vmmemctlver.dll
